Start Time: 9/10/2024 3:29:54 PM
RDT Sample Rate: 500
Force Units: N
Counts per Unit Force: 1000000
Torque Units: Nm
Counts per Unit Torque: 1000000
Status (hex), RDTSequence, F/T Sequence, Fx , Fy , Fz , Tx , Ty , Tz , Time 
0x0, 23702, 7996, 0.011097, -0.008406997, 0.005058289, -6.300025E-05, -0.000182, -0.0001870021, 15:29:54.767
0x0, 23703, 7997, -0.006420001, -0.02036905, -0.005719662, 0.0001730002, -0.0002969997, 0.0003769994, 15:29:54.776
0x0, 23704, 7998, 0.016444, -0.005810976, 0.007246971, 0.0003479999, -0.000182, 0.0001379997, 15:29:54.784
0x0, 23705, 7999, -0.0009060055, -0.01073205, -0.008038044, 0.0001099999, 6.500073E-05, -0.0001250021, 15:29:54.792
0x0, 23706, 8000, 0.009363994, 0.01627505, 0.001095295, -0.0003340002, 0.0001490004, 0.000328999, 15:29:54.799
0x0, 23707, 8001, -0.010022, -0.01031697, -0.01066494, -0.0005010003, 0.0007530004, 0.0001279972, 15:29:54.807
0x0, 23708, 8002, 0.01107299, -0.003533006, 0.0002589226, -9.100046E-05, -0.000213, 0.000262998, 15:29:54.815
0x0, 23709, 8003, -0.0001070052, 0.006659985, -0.002826691, 0.0001329998, -8.499995E-05, 0.0002329983, 15:29:54.823
0x0, 23710, 8004, 0.009875, -0.0005110502, 0.005195141, 0.000122, -0.0003209999, 0.000657998, 15:29:54.832
0x0, 23711, 8005, 0.015076, -0.01830995, -0.004333019, -9.700004E-05, -0.0001169993, 0.0002229996, 15:29:54.840
0x0, 23712, 8006, 0.022185, -0.008945942, 0.01723909, -0.0001109997, -7.699989E-05, 0.0001999997, 15:29:54.848
0x0, 23713, 8007, -0.007222012, -0.004407048, 0.01447392, -0.0006280001, 0.0004410008, 0.000347998, 15:29:54.855
0x0, 23714, 8008, 0.00202699, -0.006991982, 6.628036E-05, -0.0008549998, 2.400018E-05, 0.0001769997, 15:29:54.864
0x0, 23715, 8009, -0.01599501, -0.0004819632, -0.007771969, -0.0001069997, -0.0001630001, 0.0002719983, 15:29:54.872
0x0, 23716, 8010, -0.006650999, -0.01132095, -0.01704407, -7.89999E-05, 6.300025E-05, -0.0001350008, 15:29:54.880
0x0, 23717, 8011, -0.01057, -0.02557302, -0.009886742, -9.400025E-05, -0.0001689997, 0.0002149977, 15:29:54.887
0x0, 23718, 8012, 0.011006, -0.008806944, 0.001858234, -0.0003559999, -6.299932E-05, 0.0001959987, 15:29:54.895
0x0, 23719, 8013, 0.01357099, -0.007357001, 0.01273012, -0.0004519997, 6.10007E-05, -1.600012E-05, 15:29:54.903
0x0, 23720, 8014, 0.016911, -0.002583027, -0.01542091, -0.0004179999, 6.300025E-05, 0.0001539998, 15:29:54.913
0x0, 23721, 8015, 0.002776995, -0.003733993, -0.01371193, -0.0001640003, -0.0002329992, 0.0001899973, 15:29:54.921
0x0, 23722, 8016, 0.011199, 0.004752994, 0.006529331, 0.0002359999, -0.0007489994, 0.0005229972, 15:29:54.927
0x0, 23723, 8017, -0.001892999, -0.009276032, -0.01676273, 2.99979E-06, -0.0001539998, -0.0001580007, 15:29:54.936
0x0, 23724, 8018, 0.007929996, -0.01580596, -0.02553272, 3.500003E-05, 0.0001520002, -0.0008090027, 15:29:54.943
0x0, 23725, 8019, 0.007952988, 0.001037002, 0.008035183, 0.0002139998, 0.0003000004, -0.0001990013, 15:29:54.952
0x0, 23726, 8020, 0.01596099, 0.01237202, 0.001820087, -0.0005249996, -7.499941E-05, -0.0002020001, 15:29:54.960
0x0, 23727, 8021, -0.005615011, -0.00189805, -0.001878738, -0.0008100001, 1.400057E-05, 0.0003350005, 15:29:54.967
0x0, 23728, 8022, -0.005768001, -0.002298951, -0.003906727, -0.0003580004, -0.0002739998, 0.000643, 15:29:54.975
0x0, 23729, 8023, -0.009096012, 0.002020001, 0.0079422, -5.300017E-05, -0.0002619997, 0.0002730004, 15:29:54.983
0x0, 23730, 8024, -0.002616003, -0.007429004, 0.013834, 6.299978E-05, 3.500003E-05, 0.0002769977, 15:29:54.992
0x0, 23731, 8025, 0.01298299, 0.01179004, 0.0004863739, 0.000116, -4.99934E-06, 0.0004669987, 15:29:55.000
0x0, 23732, 8026, 0.011189, -0.004330039, -0.003946781, -0.0003669998, 0.0006150007, 0.0002870001, 15:29:55.008
0x0, 23733, 8027, -0.001667008, 0.008165002, -0.003630638, -0.0003700005, -8.899998E-05, 6.09979E-05, 15:29:55.015
0x0, 23734, 8028, 0.019574, 0.005880952, -0.005552769, -0.0003960002, -0.0004109992, -2.099946E-05, 15:29:55.024
0x0, 23735, 8029, -0.006198004, -0.01954997, 0.006176949, 6.49998E-05, 0.0001670001, 0.0007189997, 15:29:55.032
0x0, 23736, 8030, 0.002879992, -0.01081705, 0.006494999, -0.0002640001, -9.399932E-05, -0.000233002, 15:29:55.040
0x0, 23737, 8031, -0.006948009, -0.01368797, 0.004435062, 0.0001150002, 8.400064E-05, 8.900091E-05, 15:29:55.048
